DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2021-0643-HND,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2021-000154,,HND,Honduras,Latin America and the Caribbean,Americas,Guanaja Island (Islas de la Bahía Department),Unclear,,No,No,Yes,,,Km2,,,,2021,10,2,2021,10,3,,3,2500,,2503,,,,,,,84.16698296,"[{""adm2_code"":17345,""adm2_name"":""Guanaja""}]","[{""gid_2"":""HND.11.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Guanaja""}]",2021-10-05,2025-12-20
2022-0323-PAK,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,PAK,Pakistan,Southern Asia,Asia,"Sherani district, north-west of Balochistan Province, Khyber-Pakhtunkhwa",,,No,No,Yes,,,Km2,,,,2022,5,15,2022,5,24,4,4,4000,,4004,,,,,,,90.90269746,"[{""adm1_code"":2272,""adm1_name"":""Balochistan""},{""adm2_code"":23632,""adm2_name"":""Khyber Agency""}]","[{""gid_1"":""PAK.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Balochistan""},{""gid_1"":""PAK.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""within2_1"",""name_1"":""Federally Administered Tribal Ar""}]",2022-05-30,2025-12-20
2022-0132-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Adkins Ave Fire and Bertha Swamp Road Fires; Cottonwood Complex Fires,USA,United States of America,Northern America,Americas,"Calhoun and Gulf Counties (Florida); Reno, Harvey Counties (Kansas)","Prolonged period of dry conditions, steady winds, and abundant fuels",,No,No,No,,,Km2,,,,2022,3,4,2022,3,9,,,156,108,264,,,,,,,90.90269746,"[{""adm2_code"":29004,""adm2_name"":""Calhoun""},{""adm2_code"":29019,""adm2_name"":""Gulf""},{""adm2_code"":29605,""adm2_name"":""Harvey""},{""adm2_code"":29643,""adm2_name"":""Reno""}]","[{""gid_2"":""USA.10.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Gulf""},{""gid_2"":""USA.10.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Calhoun""},{""gid_2"":""USA.17.40_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Harvey""},{""gid_2"":""USA.17.78_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Reno""}]",2022-03-16,2025-12-20
2022-0215-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,"McBride, Nogal Canyon, Hermits Peak Fires",USA,United States of America,Northern America,Americas,"Lincoln, San Miguel Counties (New Mexico)","Ongoing severe drought, strong winds and low relative humidity",,No,No,No,,,Km2,,,,2022,4,12,2022,5,,2,49,600,,649,,,,,155000,170512,90.90269746,"[{""adm2_code"":28787,""adm2_name"":""Santa Cruz""},{""adm2_code"":30486,""adm2_name"":""Lincoln""},{""adm2_code"":30496,""adm2_name"":""San Miguel""}]","[{""gid_2"":""USA.3.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Santa Cruz""},{""gid_2"":""USA.32.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Lincoln""},{""gid_2"":""USA.32.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""San Miguel""}]",2022-04-15,2025-12-20
2022-0275-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Krasnoïarsk, Kemerovo, Omsk, Kurgan, Irkutsk, and Novosibirsk regions (Siberia)",Violent wind,,No,No,No,,,Km2,,,,2022,5,6,2022,5,10,16,12,,2190,2202,,,,,,,90.90269746,"[{""adm1_code"":2506,""adm1_name"":""Irkutskaya Oblast""},{""adm1_code"":2515,""adm1_name"":""Kemerovskaya Oblast""},{""adm1_code"":2524,""adm1_name"":""Krasnodarskiy Kray""},{""adm1_code"":2526,""adm1_name"":""Kurganskaya Oblast""},{""adm1_code"":2541,""adm1_name"":""Novosibirskaya Oblast""},{""adm1_code"":2542,""adm1_name"":""Omskaya Oblast""}]","[{""gid_1"":""RUS.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Irkutsk""},{""gid_1"":""RUS.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kemerovo""},{""gid_1"":""RUS.34_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Krasnodar""},{""gid_1"":""RUS.36_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kurgan""},{""gid_1"":""RUS.50_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Novosibirsk""},{""gid_1"":""RUS.51_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Omsk""}]",2022-05-10,2025-12-20
2023-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2023-000140,'Lahaina' wildfire,USA,United States of America,Northern America,Americas,Maui and Kula City (Hawai),,,No,No,Yes,,,Km2,,,,2023,8,9,2023,8,10,128,,7695,,7695,,,3500000,3698044,5500000,5811212,94.64462201,"[{""adm1_code"":3225,""adm1_name"":""Hawaii""}]","[{""gid_1"":""USA.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Hawaii""}]",2023-08-09,2025-12-20
2023-0507-PRT,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,PRT,Portugal,Southern Europe,Europe,Odemira Municipality,,,No,No,No,,,Km2,,,,2023,8,5,2023,8,9,,35,1400,,1435,,,,,,,94.64462201,,,2023-08-09,2023-09-26
2023-0727-ESP,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ESP,Spain,Southern Europe,Europe,Montitxelvo municipality (Valencia),,,No,No,No,,,Km2,,,,2023,11,2,2023,11,3,,,800,,800,,,,,,,94.64462201,,,2023-11-06,2025-03-18
2023-0529-FRA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,FRA,France,Western Europe,Europe,Saint-André and Argelès-sur-Mer (Pyrénées-Orientales department),,,No,No,No,,,Km2,,,,2023,8,14,2023,8,17,,51,90,,141,,,,,,,94.64462201,"[{""adm2_code"":16289,""adm2_name"":""Pyrenees-Orientales""}]","[{""gid_2"":""FRA.11.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pyrénées-Orientales""}]",2023-08-21,2025-12-20
2023-0535-GRC,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,GLIDE:WF-2023-000153,,GRC,Greece,Southern Europe,Europe,"Alexandroupolis-Feres and Rodopi in East Macedonia, in Viotia (Central Greece), Parrnitha (Attica), Evia Island, and Kythnos Island",,,No,No,No,,,Km2,,,,2023,8,19,2023,8,27,20,,,,,,,,,200000,211317,94.64462201,,,2023-08-23,2025-03-12
2023-0884-SYR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2023-000129,,SYR,Syrian Arab Republic,Western Asia,Asia,"Hama, Homs, Lattakia, Tartous",,,No,No,No,,,Km2,,,,2023,6,,2023,7,,,5,50000,,50005,,,,,,,94.64462201,,,2025-07-18,2025-07-18
2024-0044-ZAF,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ZAF,South Africa,Sub-Saharan Africa,Africa,Overberg District; ape Winelands District Municipality (Greater Cape Town and Cape Peninsula (Western Cape Province),,,No,No,No,,,Km2,,,,2024,1,,2024,1,31,,,250,,250,,,,,,,97.43617562,,,2024-02-01,2024-02-13
2024-0056-CHL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2024-000010,Tablax Complex fire,CHL,Chile,Latin America and the Caribbean,Americas,"Viña del Mar City, Quilpué City (Marga Marga Province; Valparaíso Region); O'Higgins, Maule, Ñuble, Los Ríos, Arucania, Aysén regions",,,No,No,Yes,,,Km2,,,,2024,2,1,2024,2,7,135,1250,39528,,40778,,,,,1000000,1026313,97.43617562,,,2024-02-08,2025-03-28
2024-0226-GTM,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,GTM,Guatemala,Latin America and the Caribbean,Americas,"Guatemala, Escuintla, and Sacatepéquez",,,No,No,Yes,,,Km2,,,,2024,1,1,2024,4,11,,200,,,200,,,,,,,97.43617562,,,2024-04-17,2024-04-30
2024-0288-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,"Fort Nelson, Carpenter Lake, Fontas, and Doig River First Nation reserve (British Columbia); Alberta, Manitoba Provinces",,,No,No,No,,,Km2,,,,2024,5,12,2024,5,13,,,3500,,3500,,,,,,,97.43617562,,,2024-05-13,2024-06-12
2024-0524-CAN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,Jasper Complex Fire,CAN,Canada,Northern America,Americas,National park Jasper (Alberta province); Colombie-Britannique,"Warm temperatures, dry conditions, and strong winds, lightenings",,No,No,Yes,,,Km2,,,,2024,7,22,2024,8,7,1,,,,,,,800000,821050,1000000,1026313,97.43617562,,,2024-07-25,2025-01-09
2024-0623-TUR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,TUR,Türkiye,Western Asia,Asia,"Izmir, Manisa, Bolu, and Aydin",Strong winds and warm temperatures,,No,No,No,,,Km2,,,,2024,8,13,2024,8,18,,,,,,,,,,,,97.43617562,,,2024-08-21,2024-10-28
2024-0700-PER,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,PER,Peru,Latin America and the Caribbean,Americas,"Amazonas, San Martin and Ucayali",,,No,No,Yes,,,Km2,,,,2024,7,1,2024,9,30,14,9,1876,,1885,,,,,190000,194999,97.43617562,,,2024-09-30,2024-11-28
2024-0827-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,'Mountain fire',USA,United States of America,Northern America,Americas,Ventura county (California),,,No,No,Yes,,,Km2,,,,2024,11,6,2024,11,8,,6,381,729,1116,,,,,100000,102631,97.43617562,,,2024-11-08,2024-11-15
2025-0313-ISR,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,ISR,Israel,Western Asia,Asia,"Near Judean Mountain range, around Jerusalem","Hot and dry conditions, strong winds",,No,No,Yes,,,Km2,,,,2025,4,30,2025,5,3,,23,,,23,,,,,,,100,,,2025-05-05,2025-05-09
2025-0721-BOL,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2025-000163,,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"Santa Cruz, Beni, Potosí, and Cochabamba departments",,,No,No,Yes,,,Km2,,,,2025,8,17,2025,8,31,,,14000,,14000,,,,,,,100,,,2025-08-26,2025-12-03
2025-1057-IRN,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),GLIDE:WF-2025-000221,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Azarbayejan Sharghi, Golestan, Mazandaran",,,No,Yes,No,,,Km2,,,,2025,10,31,2025,11,,,,50000,,50000,,,,,,,100,,,2025-12-18,2026-02-16
2026-0280-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,,USA,United States of America,Northern America,Americas,"Brantley, Clinch and Echols counties (Georgia); Levy, Putnam and Clay counties (Florida)",,,No,No,Yes,,,Km2,,,,2026,4,21,2026,4,23,1,,249,310,559,,,,,,,,,,2026-04-23,2026-05-04
2000-0231-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Buryatiya Rep., Irkutskaya Oblast, Chitinskaya Oblast, Aginskiy Buryatskiy A. Okrug provinces",,,No,No,No,,930,Km2,,,,2000,5,,2000,5,,,,,,,,,,,,,53.48773668,"[{""adm1_code"":2488,""adm1_name"":""Aginskiy Buryatskiy A. Okrug""},{""adm1_code"":2497,""adm1_name"":""Buryatiya Rep.""},{""adm1_code"":2500,""adm1_name"":""Chitinskaya Oblast""},{""adm1_code"":2506,""adm1_name"":""Irkutskaya Oblast""}]","[{""gid_1"":""RUS.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Irkutsk""},{""gid_1"":""RUS.83_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Zabaykal'ye""},{""gid_1"":""RUS.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Buryat""}]",2003-07-01,2025-12-20
2000-0279-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,Sarasota district (Florida province),,,No,No,No,,16,Km2,,,,2000,5,14,2000,5,14,,,,,,,,,,,,53.48773668,"[{""adm2_code"":29053,""adm2_name"":""Sarasota""}]","[{""gid_2"":""USA.10.58_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sarasota""}]",2003-07-01,2025-12-20
2000-0528-HRV,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,HRV,Croatia,Southern Europe,Europe,"Split, Omis cities (Split-dalmatija province), Slano, Metkovic cities (Dubrovnik-neretva province)",,,No,No,No,,203,Km2,,,,2000,8,,2000,8,,1,,,,,,,,,17750,33185,53.48773668,"[{""adm1_code"":989,""adm1_name"":""Dubrovnik-neretva""},{""adm1_code"":1003,""adm1_name"":""Split-dalmatija""}]","[{""gid_1"":""HRV.16_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Splitsko-Dalmatinska""},{""gid_1"":""HRV.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Dubrovacko-Neretvanska""}]",2003-07-01,2025-12-20
2001-0340-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,Alberta province,,,No,No,No,,,Km2,,,,2001,5,28,2001,5,28,,,1200,,1200,,,,,,,54.99938527,"[{""adm1_code"":825,""adm1_name"":""Alberta""}]","[{""gid_1"":""CAN.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Alberta""}]",2003-07-01,2025-12-20
2001-0499-COL,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,COL,Colombia,Latin America and the Caribbean,Americas,"Amazonas, Arauca, Boyaca, Caqueta, Casanare, Guainia, Guaviare, Meta, Norte De Santander, Putumayo, Vaupes, Vichada provinces",,,No,No,No,,120,Km2,,,,2001,8,,2001,8,,,,,,,,,,,,,54.99938527,"[{""adm1_code"":934,""adm1_name"":""Amazonas""},{""adm1_code"":936,""adm1_name"":""Arauca""},{""adm1_code"":939,""adm1_name"":""Boyaca""},{""adm1_code"":942,""adm1_name"":""Caqueta""},{""adm1_code"":943,""adm1_name"":""Casanare""},{""adm1_code"":951,""adm1_name"":""Guaviare""},{""adm1_code"":954,""adm1_name"":""Meta""},{""adm1_code"":956,""adm1_name"":""Norte De Santander""},{""adm1_code"":957,""adm1_name"":""Putumayo""},{""adm1_code"":965,""adm1_name"":""Vaupes""},{""adm1_code"":966,""adm1_name"":""Vichada""}]","[{""gid_1"":""COL.10_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Casanare""},{""gid_1"":""COL.17_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Guaviare""},{""gid_1"":""COL.1_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Amazonas""},{""gid_1"":""COL.21_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Meta""},{""gid_1"":""COL.23_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Norte de Santander""},{""gid_1"":""COL.24_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Putumayo""},{""gid_1"":""COL.32_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Vaupés""},{""gid_1"":""COL.33_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Vichada""},{""gid_1"":""COL.3_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Arauca""},{""gid_1"":""COL.7_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Boyacá""},{""gid_1"":""COL.9_2"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Caquetá""}]",2003-07-01,2025-12-20
2001-0500-ZAF,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,ZAF,South Africa,Sub-Saharan Africa,Africa,"Elhanzeni District Municipality, Mopani District Municipality, Vhelbe District Municipality",,,No,No,No,,,Km2,,,,2001,9,4,2001,9,4,20,,,,,,,,,,,54.99938527,"[{""adm2_code"":77342,""adm2_name"":""Mopani District Municipality""},{""adm2_code"":77343,""adm2_name"":""Vhembe District Municipality""},{""adm2_code"":77341,""adm2_name"":""Ehlanzeni District Municipality""}]","[{""gid_2"":""ZAF.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Mopani""},{""gid_2"":""ZAF.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Vhembe""},{""gid_2"":""ZAF.6.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ehlanzeni""}]",2003-07-01,2025-12-20
2001-0504-BGR,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,BGR,Bulgaria,Eastern Europe,Europe,"Blagoevgrad, Haskovo, Kardzhali, Smoljan provinces",,,No,No,No,,50,Km2,,,,2001,8,,2001,8,,,,,,,,,,,,,54.99938527,"[{""adm1_code"":702,""adm1_name"":""Blagoevgrad""},{""adm1_code"":706,""adm1_name"":""Haskovo""},{""adm1_code"":708,""adm1_name"":""Kardzhali""},{""adm1_code"":721,""adm1_name"":""Smoljan""}]","[{""gid_1"":""BGR.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Blagoevgrad""},{""gid_1"":""BGR.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Smolyan""},{""gid_1"":""BGR.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Haskovo""},{""gid_1"":""BGR.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kardzhali""}]",2003-07-01,2025-12-20
2001-0558-PRT,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,PRT,Portugal,Southern Europe,Europe,"Guarda, Vila Real, Viseu provinces",,,No,No,No,,428,Km2,,,,2001,9,,2001,9,,,,,,,,,,,,,54.99938527,"[{""adm1_code"":2394,""adm1_name"":""Guarda""},{""adm1_code"":2412,""adm1_name"":""Vila Real""},{""adm1_code"":2413,""adm1_name"":""Viseu""}]","[{""gid_1"":""PRT.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Guarda""},{""gid_1"":""PRT.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Vila Real""},{""gid_1"":""PRT.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Viseu""}]",2003-07-01,2025-12-20
2001-0655-AUS,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,AUS,Australia,Australia and New Zealand,Oceania,New South Wales province,,,No,No,No,,280,Km2,,,,2001,10,,2001,10,,,,,,,,,,,,,54.99938527,"[{""adm1_code"":470,""adm1_name"":""New South Wales""}]","[{""gid_1"":""AUS.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""New South Wales""}]",2003-07-01,2025-12-20
2002-0197-VNM,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,VNM,Viet Nam,South-eastern Asia,Asia,"U Minh Thuong National Park (Kien Giang province), U Minh Ha (Ca Mau province)",,,Yes,No,No,50,55,Km2,,,,2002,3,24,2002,4,12,,,,,,,,,,,,55.87169607,"[{""adm1_code"":3339,""adm1_name"":""Ca Mau""},{""adm1_code"":3356,""adm1_name"":""Kien Giang""}]","[{""gid_1"":""VNM.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Cà Mau""},{""gid_1"":""VNM.33_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kiên Giang""}]",2005-04-19,2025-12-20
2002-0331-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Georgia, Alaska provinces",,,No,No,No,,414,Km2,,,,2002,5,,2002,5,,,,,,,,,,,,,55.87169607,"[{""adm1_code"":3215,""adm1_name"":""Alaska""},{""adm1_code"":3224,""adm1_name"":""Georgia""}]","[{""gid_1"":""USA.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Georgia""},{""gid_1"":""USA.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Alaska""}]",2003-07-01,2025-12-20
2002-0469-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Sakha Rep., Chukotskiy Okrug provinces",,,No,No,No,,1880,Km2,,,,2002,7,,2002,7,,,,,,,,,,,,,55.87169607,"[{""adm1_code"":2501,""adm1_name"":""Chukotskiy Okrug""},{""adm1_code"":2551,""adm1_name"":""Sakha Rep.""}]","[{""gid_1"":""RUS.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chukot""},{""gid_1"":""RUS.60_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sakha""}]",2003-07-01,2025-12-20
2002-0565-RUS,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,RUS,Russian Federation,Eastern Europe,Europe,"Shatura, Dmitrov, Balashikha, Noginsk, Pavlovo-Posad cities (Moskovskaya Oblast province)",,,No,No,No,,6,Km2,,,,2002,7,,2002,7,,,,,,,,,,,,,55.87169607,"[{""adm1_code"":2534,""adm1_name"":""Moskovskaya Oblast""}]","[{""gid_1"":""RUS.44_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Moskva""}]",2003-07-01,2025-12-20
2002-0618-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Claremont, Glendora, La Verne areas (Los Angeles district, California province))",,,No,No,No,,93,Km2,,,,2002,9,22,2002,9,22,,,2000,213,2213,,,,,,,55.87169607,"[{""adm2_code"":28883,""adm2_name"":""Los Angeles""}]","[{""gid_2"":""USA.5.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Los Angeles""}]",2003-07-01,2025-12-20
2003-0299-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,USA,United States of America,Northern America,Americas,"Summerhaven area (Pima district, Arizona province), Lemmon mount (Pima district, Arizona province)",,,No,No,No,,16,Km2,,,,2003,6,17,2003,6,20,,,,750,750,,,,,,,57.14003527,"[{""adm2_code"":28785,""adm2_name"":""Pima""}]","[{""gid_2"":""USA.3.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pima""}]",2003-06-26,2025-12-20
2003-0369-CAN,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,,CAN,Canada,Northern America,Americas,"British Columbia, Alberta, Saskatchewan, Manitoba provinces",,,No,No,No,,2500,Km2,,,,2003,8,1,2003,9,14,1,,,,,,,155000,271263,545000,953797,57.14003527,"[{""adm1_code"":825,""adm1_name"":""Alberta""},{""adm1_code"":826,""adm1_name"":""British Columbia / Colombie-Britannique""},{""adm1_code"":827,""adm1_name"":""Manitoba""},{""adm1_code"":836,""adm1_name"":""Saskatchewan""}]","[{""gid_1"":""CAN.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Saskatchewan""},{""gid_1"":""CAN.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Alberta""},{""gid_1"":""CAN.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""British Columbia""},{""gid_1"":""CAN.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Manitoba""}]",2004-03-10,2025-12-20
